objectid,fips,county_cod,dwr_code,county_nam,staging_sd,acres,perimeter,shape,st_area_sh,st_length_,Area_County,objectid_1,objectid_2,system,id,name,shape_leng,label,shape_le_1,shape_2,st_area_sh_2,st_length__2,area,Area_Intersection,Basin_Fraction
49,107,ROU,54,Routt,6135615588,1516110.612,399288.984,,1061926,52545,10619264770,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,1169059177,0.11
50,57,JAC,29,Jackson,4195145398,1036620.428,351362.352,,7302655,46350,7302655569,8,8,Ym/Wt,800,Yampa/White/Green,778063.4337,Yampa/White/Green,778058.2319,,47013356168,1020664.666,27275598010,5947264.9,0
50,57,JAC,29,Jackson,4195145398,1036620.428,351362.352,,7302655,46350,7302655569,4,4,NP,400,North Platte,390091.2831,North Platte,390088.036,,9235425500,514841.5546,5299886282,7293850559,1
50,57,JAC,29,Jackson,4195145398,1036620.428,351362.352,,7302655,46350,7302655569,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,2857745.79,0
51,69,LAR,35,Larimer,6816171414,1684275.956,363439.053,,1186857,47947,11868579713,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,9928390028,0.84
51,69,LAR,35,Larimer,6816171414,1684275.956,363439.053,,1186857,47947,11868579713,4,4,NP,400,North Platte,390091.2831,North Platte,390088.036,,9235425500,514841.5546,5299886282,1937701901,0.16
51,69,LAR,35,Larimer,6816171414,1684275.956,363439.053,,1186857,47947,11868579713,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,2487783.91,0
52,49,GRA,25,Grand,4838519325,1195598.125,403326.492,,8284648,52811,8284648382,8,8,Ym/Wt,800,Yampa/White/Green,778063.4337,Yampa/White/Green,778058.2319,,47013356168,1020664.666,27275598010,47413325.8,0.01
52,49,GRA,25,Grand,4838519325,1195598.125,403326.492,,8284648,52811,8284648382,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,473148.37,0
52,49,GRA,25,Grand,4838519325,1195598.125,403326.492,,8284648,52811,8284648382,4,4,NP,400,North Platte,390091.2831,North Platte,390088.036,,9235425500,514841.5546,5299886282,2892543.14,0
52,49,GRA,25,Grand,4838519325,1195598.125,403326.492,,8284648,52811,8284648382,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,8233869364,0.99
53,103,RBL,52,Rio Blanco,8356872969,2064983.311,471902.249,,1423383,61540,14233836140,8,8,Ym/Wt,800,Yampa/White/Green,778063.4337,Yampa/White/Green,778058.2319,,47013356168,1020664.666,27275598010,14187164339,1
53,103,RBL,52,Rio Blanco,8356872969,2064983.311,471902.249,,1423383,61540,14233836140,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,40574123.69,0
54,13,BOU,7,Boulder,1917893370,473911.452,222671.08,,3283562,29114,3283562773,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,3280280953,1
54,13,BOU,7,Boulder,1917893370,473911.452,222671.08,,3283562,29114,3283562773,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,3248892.34,0
54,13,BOU,7,Boulder,1917893370,473911.452,222671.08,,3283562,29114,3283562773,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,32927.17,0
55,45,GAR,23,Garfield,7662111452,1893307.74,510430.872,,1291218,66244,12912185997,8,8,Ym/Wt,800,Yampa/White/Green,778063.4337,Yampa/White/Green,778058.2319,,47013356168,1020664.666,27275598010,1951969482,0.15
55,45,GAR,23,Garfield,7662111452,1893307.74,510430.872,,1291218,66244,12912185997,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,10957278863,0.85
56,47,GIL,24,Gilpin,388825356.6,96078.746,91633.617,,6611457,11946,661145749.5,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,660476281.3,1
56,47,GIL,24,Gilpin,388825356.6,96078.746,91633.617,,6611457,11946,661145749.5,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,669468.19,0
57,37,EAG,19,Eagle,4376262761,1081374.528,301716.784,,7388817,39190,7388817560,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,7388437879,1
57,37,EAG,19,Eagle,4376262761,1081374.528,301716.784,,7388817,39190,7388817560,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,379681.29,0
58,117,SUM,59,Summit,1610575792,397973.278,254445.202,,2720470,33072,2720470456,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,707622.54,0
58,117,SUM,59,Summit,1610575792,397973.278,254445.202,,2720470,33072,2720470456,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,2714864216,1
58,117,SUM,59,Summit,1610575792,397973.278,254445.202,,2720470,33072,2720470456,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,4898617.55,0
59,19,CLE,10,Clear Creek,1026665826,253689.125,161624.224,,1737227,21017,1737227113,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,1734619546,1
59,19,CLE,10,Clear Creek,1026665826,253689.125,161624.224,,1737227,21017,1737227113,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,2607566.29,0
60,93,PAR,47,Park,5722081291,1413926.287,366989.252,,9526610,47356,9526610796,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,8286190025,0.87
60,93,PAR,47,Park,5722081291,1413926.287,366989.252,,9526610,47356,9526610796,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,2108494.36,0
60,93,PAR,47,Park,5722081291,1413926.287,366989.252,,9526610,47356,9526610796,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,1236108985,0.13
60,93,PAR,47,Park,5722081291,1413926.287,366989.252,,9526610,47356,9526610796,9,9,Met,900,Metro,0,Metro,408181.9796,,9803568422,529377.382,5822119132,2203291.62,0
61,77,MES,39,Mesa,8665025241,2141127.737,477265.065,,1435465,61422,14354653411,6,6,D/SJ,600,San Juan/Dolores/San Miguel,926643.0175,Southwest,926641.9106,,42090591394,1173493.769,26345933486,3334906199,0.23
61,77,MES,39,Mesa,8665025241,2141127.737,477265.065,,1435465,61422,14354653411,3,3,Gun,300,Gunnison,787474.4113,Gunnison,787470.7372,,34048839397,1007737.557,20792045592,3256881613,0.23
61,77,MES,39,Mesa,8665025241,2141127.737,477265.065,,1435465,61422,14354653411,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,7753676349,0.54
62,97,PIT,49,Pitkin,2523772380,623624.155,279704.19,,4210825,36101,4210825661,3,3,Gun,300,Gunnison,787474.4113,Gunnison,787470.7372,,34048839397,1007737.557,20792045592,2925181.95,0
62,97,PIT,49,Pitkin,2523772380,623624.155,279704.19,,4210825,36101,4210825661,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,4207568736,1
62,97,PIT,49,Pitkin,2523772380,623624.155,279704.19,,4210825,36101,4210825661,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,331743.24,0
63,65,LAK,33,Lake,985778669.8,243585.909,161948.823,,1644563,20916,1644563540,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,38811.09,0
63,65,LAK,33,Lake,985778669.8,243585.909,161948.823,,1644563,20916,1644563540,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,3789000.27,0
63,65,LAK,33,Lake,985778669.8,243585.909,161948.823,,1644563,20916,1644563540,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,1640735729,1
64,51,GUN,26,Gunnison,8440917700,2085750.764,518461.072,,1386721,66466,13867214344,3,3,Gun,300,Gunnison,787474.4113,Gunnison,787470.7372,,34048839397,1007737.557,20792045592,13426852344,0.97
64,51,GUN,26,Gunnison,8440917700,2085750.764,518461.072,,1386721,66466,13867214344,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,439721696.5,0.03
64,51,GUN,26,Gunnison,8440917700,2085750.764,518461.072,,1386721,66466,13867214344,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,640303.41,0
65,29,DEL,15,Delta,2976885222,735588.338,264263.275,,4913344,33955,4913344674,3,3,Gun,300,Gunnison,787474.4113,Gunnison,787470.7372,,34048839397,1007737.557,20792045592,4911260697,1
65,29,DEL,15,Delta,2976885222,735588.338,264263.275,,4913344,33955,4913344674,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,2083976.64,0
66,15,CHA,8,Chaffee,2626463398,648999.106,294549.14,,4326672,37815,4326672906,7,7,SP,700,South Platte,1389275.346,South Platte,1389266.373,,12223604731,1810430.896,71654006556,329982.43,0
66,15,CHA,8,Chaffee,2626463398,648999.106,294549.14,,4326672,37815,4326672906,5,5,RG,500,Rio Grande,756662.018,Rio Grande,756658.8751,,31220806459,956351.6438,19540475983,138202.47,0
66,15,CHA,8,Chaffee,2626463398,648999.106,294549.14,,4326672,37815,4326672906,3,3,Gun,300,Gunnison,787474.4113,Gunnison,787470.7372,,34048839397,1007737.557,20792045592,5978799.58,0
66,15,CHA,8,Chaffee,2626463398,648999.106,294549.14,,4326672,37815,4326672906,2,2,Col,200,Colorado,1101755.848,Colorado,1101749.771,,42925413597,1430957.156,25463876429,510265,0
66,15,CHA,8,Chaffee,2626463398,648999.106,294549.14,,4326672,37815,4326672906,1,1,Ark,100,Arkansas,1494579.278,Arkansas,1494572.47,,11853076425,1905048.639,73231424092,4319715657,1
